"erv.id","seqnames","start","end","width","hitgen","hitrefseq","scaff.start","scaff.end","score","subgenes"
"pCi1","contig1",16335808,16342384,6577,"MSTS01000001.1","NW_018343952.1",16335808,16342384,579,"5LTR PBS NC RT IN TM PPT 3LTR"
"pCi2","contig1",16776779,16784633,7855,"MSTS01000001.1","NW_018343952.1",16776779,16784633,1989,"MA CA DU Prot RT IN SU TM PPT 3LTR"
"pCi3","contig1",16827886,16837667,9782,"MSTS01000001.1","NW_018343952.1",16827886,16837667,321,"5LTR PBS MA CA NC IN TM PPT 3LTR"
"pCi4","contig1",18661362,18664601,3240,"MSTS01000001.1","NW_018343952.1",18661362,18664601,353,"MA CA NC Prot RT IN"
"pCi5","contig1",18746917,18753692,6776,"MSTS01000001.1","NW_018343952.1",18746917,18753692,601,"5LTR PBS CA Prot RT IN TM 3LTR"
"pCi6","contig1",21437508,21444885,7378,"MSTS01000001.1","NW_018343952.1",21437508,21444885,1167,"5LTR PBS MA CA NC Prot RT IN 3LTR"
"pCi7","contig1",26177953,26185227,7275,"MSTS01000001.1","NW_018343952.1",26177953,26185227,436,"MA CA NC Prot RT IN PPT"
"pCi9","contig1",35421107,35434409,13303,"MSTS01000001.1","NW_018343952.1",35421107,35434409,421,"5LTR PBS MA CA DU RT IN TM PPT 3LTR"
"pCi10","contig1",41696668,41700976,4309,"MSTS01000002.1","NW_018343953.1",1138653,1142961,357,"5LTR PBS MA CA NC TM 3LTR"
"pCi11","contig1",47107467,47113287,5821,"MSTS01000002.1","NW_018343953.1",6549452,6555272,352,"NC DU RT IN TM"
"pCi12","contig1",47107467,47113287,5821,"MSTS01000002.1","NW_018343953.1",6549452,6555272,340,"NC DU RT IN TM"
"pCi13","contig1",50880725,50888076,7352,"MSTS01000002.1","NW_018343953.1",10322710,10330061,516,"5LTR MA CA NC RT IN PPT 3LTR"
"pCi14","contig1",52711332,52720419,9088,"MSTS01000002.1","NW_018343953.1",12153317,12162404,303,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi15","contig1",57083406,57090993,7588,"MSTS01000002.1","NW_018343953.1",16525391,16532978,2131,"5LTR PBS CA NC DU Prot RT IN TM PPT 3LTR"
"pCi16","contig1",75418478,75425783,7306,"MSTS01000002.1","NW_018343953.1",34860463,34867768,1082,"5LTR PBS NC RT IN SU TM PPT 3LTR"
"pCi17","contig1",78338103,78346539,8437,"MSTS01000002.1","NW_018343953.1",37780088,37788524,2645,"5LTR PBS MA CA NC Prot RT IN SU TM PPT 3LTR"
"pCi18","contig1",8260925,8268768,7844,"MSTS01000001.1","NW_018343952.1",8260925,8268768,395,"5LTR PBS MA CA NC Prot RT IN PPT 3LTR"
"pCi19","contig1",8831608,8835015,3408,"MSTS01000001.1","NW_018343952.1",8831608,8835015,403,"Prot RT IN TM PPT"
"pCi20","contig1",9199318,9203256,3939,"MSTS01000001.1","NW_018343952.1",9199318,9203256,314,"MA CA NC RT IN"
"pCi21","contig1",9418429,9422436,4008,"MSTS01000001.1","NW_018343952.1",9418429,9422436,431,"NC RT IN TM"
"pCi22","contig10",11932968,11939604,6637,"MSTS01000031.1","NW_018343982.1",11932968,11939604,355,"5LTR PBS CA RT IN TM 3LTR"
