"scaffold","genbank.accn","refseq.accn","scaffold.len"
"phaCin_unsw_v4.1.fa.scaf00001","MSTS01000001.1","NW_018343952.1",40558015
"phaCin_unsw_v4.1.fa.scaf00002","MSTS01000002.1","NW_018343953.1",39914628
"phaCin_unsw_v4.1.fa.scaf00003","MSTS01000003.1","NW_018343954.1",38256937
"phaCin_unsw_v4.1.fa.scaf00004","MSTS01000004.1","NW_018343955.1",36543856
"phaCin_unsw_v4.1.fa.scaf00005","MSTS01000005.1","NW_018343956.1",36077823
"phaCin_unsw_v4.1.fa.scaf00006","MSTS01000006.1","NW_018343957.1",29993169
"phaCin_unsw_v4.1.fa.scaf00007","MSTS01000007.1","NW_018343958.1",29334629
"phaCin_unsw_v4.1.fa.scaf00008","MSTS01000008.1","NW_018343959.1",27308231
"phaCin_unsw_v4.1.fa.scaf00009","MSTS01000009.1","NW_018343960.1",26266790
"phaCin_unsw_v4.1.fa.scaf00010","MSTS01000010.1","NW_018343961.1",25956607
"phaCin_unsw_v4.1.fa.scaf00011","MSTS01000011.1","NW_018343962.1",24546903
"phaCin_unsw_v4.1.fa.scaf00012","MSTS01000012.1","NW_018343963.1",24139029
"phaCin_unsw_v4.1.fa.scaf00013","MSTS01000013.1","NW_018343964.1",23472172
"phaCin_unsw_v4.1.fa.scaf00014","MSTS01000014.1","NW_018343965.1",23442784
"phaCin_unsw_v4.1.fa.scaf00015","MSTS01000015.1","NW_018343966.1",23419632
"phaCin_unsw_v4.1.fa.scaf00016","MSTS01000016.1","NW_018343967.1",23269118
"phaCin_unsw_v4.1.fa.scaf00017","MSTS01000017.1","NW_018343968.1",22518727
"phaCin_unsw_v4.1.fa.scaf00018","MSTS01000018.1","NW_018343969.1",22503682
"phaCin_unsw_v4.1.fa.scaf00019","MSTS01000019.1","NW_018343970.1",22461587
"phaCin_unsw_v4.1.fa.scaf00020","MSTS01000020.1","NW_018343971.1",22442803
"phaCin_unsw_v4.1.fa.scaf00021","MSTS01000021.1","NW_018343972.1",22353887
"phaCin_unsw_v4.1.fa.scaf00022","MSTS01000022.1","NW_018343973.1",22224699
"phaCin_unsw_v4.1.fa.scaf00023","MSTS01000023.1","NW_018343974.1",22081990
"phaCin_unsw_v4.1.fa.scaf00024","MSTS01000024.1","NW_018343975.1",22043896
"phaCin_unsw_v4.1.fa.scaf00025","MSTS01000025.1","NW_018343976.1",22035845
"phaCin_unsw_v4.1.fa.scaf00026","MSTS01000026.1","NW_018343977.1",21800395
"phaCin_unsw_v4.1.fa.scaf00027","MSTS01000027.1","NW_018343978.1",21018852
"phaCin_unsw_v4.1.fa.scaf00028","MSTS01000028.1","NW_018343979.1",20835854
"phaCin_unsw_v4.1.fa.scaf00029","MSTS01000029.1","NW_018343980.1",20348574
"phaCin_unsw_v4.1.fa.scaf00030","MSTS01000030.1","NW_018343981.1",20175019
"phaCin_unsw_v4.1.fa.scaf00031","MSTS01000031.1","NW_018343982.1",20058087
"phaCin_unsw_v4.1.fa.scaf00032","MSTS01000032.1","NW_018343983.1",19597799
"phaCin_unsw_v4.1.fa.scaf00033","MSTS01000033.1","NW_018343984.1",19543152
"phaCin_unsw_v4.1.fa.scaf00034","MSTS01000034.1","NW_018343985.1",19201427
"phaCin_unsw_v4.1.fa.scaf00035","MSTS01000035.1","NW_018343986.1",18477679
"phaCin_unsw_v4.1.fa.scaf00036","MSTS01000036.1","NW_018343987.1",18184789
"phaCin_unsw_v4.1.fa.scaf00037","MSTS01000037.1","NW_018343988.1",18181243
"phaCin_unsw_v4.1.fa.scaf00038","MSTS01000038.1","NW_018343989.1",18080598
"phaCin_unsw_v4.1.fa.scaf00039","MSTS01000039.1","NW_018343990.1",18005330
"phaCin_unsw_v4.1.fa.scaf00040","MSTS01000040.1","NW_018343991.1",17928694
"phaCin_unsw_v4.1.fa.scaf00041","MSTS01000041.1","NW_018343992.1",17853887
"phaCin_unsw_v4.1.fa.scaf00042","MSTS01000042.1","NW_018343993.1",17767691
"phaCin_unsw_v4.1.fa.scaf00043","MSTS01000043.1","NW_018343994.1",17472961
"phaCin_unsw_v4.1.fa.scaf00044","MSTS01000044.1","NW_018343995.1",17109104
"phaCin_unsw_v4.1.fa.scaf00045","MSTS01000045.1","NW_018343996.1",17031729
"phaCin_unsw_v4.1.fa.scaf00046","MSTS01000046.1","NW_018343997.1",16939101
"phaCin_unsw_v4.1.fa.scaf00047","MSTS01000047.1","NW_018343998.1",16844534
"phaCin_unsw_v4.1.fa.scaf00048","MSTS01000048.1","NW_018343999.1",16487017
"phaCin_unsw_v4.1.fa.scaf00049","MSTS01000049.1","NW_018344000.1",16209153
"phaCin_unsw_v4.1.fa.scaf00050","MSTS01000050.1","NW_018344001.1",16033361
"phaCin_unsw_v4.1.fa.scaf00051","MSTS01000051.1","NW_018344002.1",15849780
"phaCin_unsw_v4.1.fa.scaf00052","MSTS01000052.1","NW_018344003.1",15177796
"phaCin_unsw_v4.1.fa.scaf00053","MSTS01000053.1","NW_018344004.1",14803480
"phaCin_unsw_v4.1.fa.scaf00054","MSTS01000054.1","NW_018344005.1",14529412
"phaCin_unsw_v4.1.fa.scaf00055","MSTS01000055.1","NW_018344006.1",14499410
"phaCin_unsw_v4.1.fa.scaf00056","MSTS01000056.1","NW_018344007.1",14446664
"phaCin_unsw_v4.1.fa.scaf00057","MSTS01000057.1","NW_018344008.1",14354284
"phaCin_unsw_v4.1.fa.scaf00058","MSTS01000058.1","NW_018344009.1",14324612
"phaCin_unsw_v4.1.fa.scaf00059","MSTS01000059.1","NW_018344010.1",14301540
"phaCin_unsw_v4.1.fa.scaf00060","MSTS01000060.1","NW_018344011.1",14251744
"phaCin_unsw_v4.1.fa.scaf00061","MSTS01000061.1","NW_018344012.1",14200703
"phaCin_unsw_v4.1.fa.scaf00062","MSTS01000062.1","NW_018344013.1",14134332
"phaCin_unsw_v4.1.fa.scaf00063","MSTS01000063.1","NW_018344014.1",13947038
"phaCin_unsw_v4.1.fa.scaf00064","MSTS01000064.1","NW_018344015.1",13899421
"phaCin_unsw_v4.1.fa.scaf00065","MSTS01000065.1","NW_018344016.1",13810318
"phaCin_unsw_v4.1.fa.scaf00066","MSTS01000066.1","NW_018344017.1",13423546
"phaCin_unsw_v4.1.fa.scaf00067","MSTS01000067.1","NW_018344018.1",13301152
"phaCin_unsw_v4.1.fa.scaf00068","MSTS01000068.1","NW_018344019.1",13225171
"phaCin_unsw_v4.1.fa.scaf00069","MSTS01000069.1","NW_018344020.1",13141271
"phaCin_unsw_v4.1.fa.scaf00070","MSTS01000070.1","NW_018344021.1",13138332
"phaCin_unsw_v4.1.fa.scaf00071","MSTS01000071.1","NW_018344022.1",13082442
"phaCin_unsw_v4.1.fa.scaf00072","MSTS01000072.1","NW_018344023.1",13049291
"phaCin_unsw_v4.1.fa.scaf00073","MSTS01000073.1","NW_018344024.1",13007589
"phaCin_unsw_v4.1.fa.scaf00074","MSTS01000074.1","NW_018344025.1",12914456
"phaCin_unsw_v4.1.fa.scaf00075","MSTS01000075.1","NW_018344026.1",12821919
"phaCin_unsw_v4.1.fa.scaf00076","MSTS01000076.1","NW_018344027.1",12648969
"phaCin_unsw_v4.1.fa.scaf00077","MSTS01000077.1","NW_018344028.1",12540953
"phaCin_unsw_v4.1.fa.scaf00078","MSTS01000078.1","NW_018344029.1",12310318
"phaCin_unsw_v4.1.fa.scaf00079","MSTS01000079.1","NW_018344030.1",12001239
"phaCin_unsw_v4.1.fa.scaf00080","MSTS01000080.1","NW_018344031.1",11990051
"phaCin_unsw_v4.1.fa.scaf00081","MSTS01000081.1","NW_018344032.1",11957795
"phaCin_unsw_v4.1.fa.scaf00082","MSTS01000082.1","NW_018344033.1",11943184
"phaCin_unsw_v4.1.fa.scaf00083","MSTS01000083.1","NW_018344034.1",11801827
"phaCin_unsw_v4.1.fa.scaf00084","MSTS01000084.1","NW_018344035.1",11609457
"phaCin_unsw_v4.1.fa.scaf00085","MSTS01000085.1","NW_018344036.1",11587828
"phaCin_unsw_v4.1.fa.scaf00086","MSTS01000086.1","NW_018344037.1",11536163
"phaCin_unsw_v4.1.fa.scaf00087","MSTS01000087.1","NW_018344038.1",11531594
"phaCin_unsw_v4.1.fa.scaf00088","MSTS01000088.1","NW_018344039.1",11399805
"phaCin_unsw_v4.1.fa.scaf00089","MSTS01000089.1","NW_018344040.1",11235378
"phaCin_unsw_v4.1.fa.scaf00090","MSTS01000090.1","NW_018344041.1",11188429
"phaCin_unsw_v4.1.fa.scaf00091","MSTS01000091.1","NW_018344042.1",11097382
"phaCin_unsw_v4.1.fa.scaf00092","MSTS01000092.1","NW_018344043.1",11079647
"phaCin_unsw_v4.1.fa.scaf00093","MSTS01000093.1","NW_018344044.1",11044861
